DEVICE_NAME,MAC_ADDRESS,RSSI
null,16:1B:54:E0:DA:65,
73,
null,39:30:62:45:BA:9B,
72,
null,29:75:B5:E3:12:81,
72,
WGX_iBeacon,EE:24:B1:D3:12:69,
71,
