DEVICE_NAME,MAC_ADDRESS,RSSI
28:C0:D4:47:A7:43,28:C0:D4:47:A7:43,
74,
17:6D:15:39:F2:8E,17:6D:15:39:F2:8E,
74,
36:32:48:A1:93:49,36:32:48:A1:93:49,
70,
1B:F8:80:1A:BF:25,1B:F8:80:1A:BF:25,
70,
