DEVICE_NAME,MAC_ADDRESS,RSSI
null,0D:FF:E3:72:ED:D6,
68,
null,17:6D:15:39:F2:8E,
59,
null,7F:22:82:B4:14:0D,
68,
null,37:CA:D3:4C:75:A3,
74,
null,15:08:9C:39:7E:0D,
74,
null,21:6C:C1:12:34:9C,
66,
null,36:32:48:A1:93:49,
65,
null,29:75:B5:E3:12:81,
68,
null,3A:CE:9E:9F:3F:2B,
74,
WGX_iBeacon,C0:EF:2C:82:C9:B8,
67,
null,1D:03:5F:31:64:60,
74,
null,03:A5:B7:FE:CA:54,
74,
