DEVICE_NAME,MAC_ADDRESS,RSSI
null,00:F4:29:0A:49:AE,
71,
null,36:54:B2:EB:EF:7D,
72,
null,34:82:20:85:CF:56,
73,
null,2D:DF:AF:93:E3:AB,
74,
