MacAddr1,MacAddr2,RoomLabel
-74,-69,1
-72,-69,1
-71,-71,1
-71,-69,1
-68,-69,1
-75,-70,2
-66,-61,2
-58,-53,2
-58,-53,2
-74,-69,2
