DEVICE_NAME,MAC_ADDRESS,RSSI
null,0B:CB:2F:DE:87:29,
71,
null,09:5F:0C:0E:59:55,
72,
null,24:5F:FC:67:E5:C6,
71,
WGX_iBeacon,F1:C1:E2:D9:72:72,
73,
